"City, State",Data Centers,Tooltip_Environmental,Tooltip_Policy,Tooltip_Community
"Ashburn, VA",48,"Ashburn, VA: Cluster of 48 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Dallas, TX",46,"Dallas, TX: Cluster of 46 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Santa Clara, CA",38,"Santa Clara, CA: Cluster of 38 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Chicago, IL",37,"Chicago, IL: Cluster of 37 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Los Angeles, CA",37,"Los Angeles, CA: Cluster of 37 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Atlanta, GA",33,"Atlanta, GA: Cluster of 33 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"New York, NY",26,"New York, NY: Cluster of 26 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Phoenix, AZ",23,"Phoenix, AZ: Cluster of 23 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Houston, TX",21,"Houston, TX: Cluster of 21 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Hillsboro, OR",20,"Hillsboro, OR: Cluster of 20 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Sterling, VA",19,"Sterling, VA: Cluster of 19 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Miami, FL",19,"Miami, FL: Cluster of 19 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Seattle, WA",18,"Seattle, WA: Cluster of 18 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"San Jose, CA",18,"San Jose, CA: Cluster of 18 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Plano, TX",16,"Plano, TX: Cluster of 16 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Austin, TX",15,"Austin, TX: Cluster of 15 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Secaucus, NJ",13,"Secaucus, NJ: Cluster of 13 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Tampa, FL",12,"Tampa, FL: Cluster of 12 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Denver, CO",12,"Denver, CO: Cluster of 12 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Manassas, VA",12,"Manassas, VA: Cluster of 12 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Richardson, TX",11,"Richardson, TX: Cluster of 11 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Elk Grove Village, IL",11,"Elk Grove Village, IL: Cluster of 11 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Philadelphia, PA",10,"Philadelphia, PA: Cluster of 10 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Lithia Springs, GA",9,"Lithia Springs, GA: Cluster of 9 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Charlotte, NC",9,"Charlotte, NC: Cluster of 9 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"San Antonio, TX",9,"San Antonio, TX: Cluster of 9 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Reston, VA",7,"Reston, VA: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"San Diego, CA",7,"San Diego, CA: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Englewood, CO",7,"Englewood, CO: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Quincy, WA",7,"Quincy, WA: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Pittsburgh, PA",7,"Pittsburgh, PA: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Columbus, OH",7,"Columbus, OH: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Mesa, AZ",7,"Mesa, AZ: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"El Segundo, CA",7,"El Segundo, CA: Cluster of 7 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Salt Lake City, UT",6,"Salt Lake City, UT: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Piscataway, NJ",6,"Piscataway, NJ: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Centennial, CO",6,"Centennial, CO: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"San Francisco, CA",6,"San Francisco, CA: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Boston, MA",6,"Boston, MA: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Las Vegas, NV",6,"Las Vegas, NV: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
"Irvine, CA",6,"Irvine, CA: Cluster of 6 data centers adds grid & water strain; noise & emissions affect nearby areas.","Local plans urge stricter zoning, efficiency standards, and renewable energy use.","Residents call for transparency, monitoring, and community benefits."
