"City, State",Data Centers,Environmental Burden,Policy Response,Community Voice
"Ashburn, VA",48,"Ashburn, VA shows a very high cumulative footprint due to clustering of ~48 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Ashburn, VA: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Ashburn, VA commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Dallas, TX",46,"Dallas, TX shows a very high cumulative footprint due to clustering of ~46 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Dallas, TX: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Dallas, TX commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Santa Clara, CA",38,"Santa Clara, CA shows a very high cumulative footprint due to clustering of ~38 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Santa Clara, CA: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Santa Clara, CA commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Chicago, IL",37,"Chicago, IL shows a very high cumulative footprint due to clustering of ~37 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Chicago, IL: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Chicago, IL commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Los Angeles, CA",37,"Los Angeles, CA shows a very high cumulative footprint due to clustering of ~37 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Los Angeles, CA: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Los Angeles, CA commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Atlanta, GA",33,"Atlanta, GA shows a very high cumulative footprint due to clustering of ~33 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Atlanta, GA: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Atlanta, GA commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"New York, NY",26,"New York, NY shows a very high cumulative footprint due to clustering of ~26 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for New York, NY: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in New York, NY commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Phoenix, AZ",23,"Phoenix, AZ shows a very high cumulative footprint due to clustering of ~23 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Phoenix, AZ: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Phoenix, AZ commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Houston, TX",21,"Houston, TX shows a very high cumulative footprint due to clustering of ~21 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Houston, TX: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Houston, TX commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
"Hillsboro, OR",20,"Hillsboro, OR shows a very high cumulative footprint due to clustering of ~20 data centers. Key pressures include: (1) rapid electricity load growth requiring grid upgrades and potentially higher rates; (2) cooling energy and, where evaporative systems are used, sizable freshwater consumption and heat rejection; (3) backup‑generator NOx/PM during testing or grid events; (4) noise from chillers and rooftop equipment; (5) conversion of industrial/greenfield parcels into large warehouse campuses increasing impervious surface and traffic.","Recommended actions for Hillsboro, OR: update zoning to explicitly define data‑center use; apply overlay districts with buffers, height/noise standards and generator‑testing limits; require annual public reporting of electricity and water use; set performance standards (PUE/WUE targets), closed‑loop or non‑potable cooling where feasible; tie tax abatements to Community Benefit Agreements (CBAs) for workforce training, stormwater/road improvements and public Wi‑Fi; coordinate interconnection and capacity planning with utilities; encourage on‑site/near‑site renewable procurement or PPAs; deploy construction traffic management and heat‑island mitigation (trees, cool roofs).","Residents and local groups in Hillsboro, OR commonly raise concerns about 24/7 noise, diesel generator testing, water draw in hot months, and transparency of tax deals. Community priorities include earlier notice and public hearings, third‑party environmental reviews, monitoring sensors for noise/air, and negotiated CBAs that fund local education, job training, and green space in buffer zones."
